Species,Region,Early,Late
,Ridge+Valley/CumP,1-Apr,11-Jun
,Piedmont,16-Mar,28-May
,Coastal Plain,17-Mar,18-May
,,,
Phanogomphus minutus (Cypress Clubtail)  ,Statewide,18-Mar,18-Jun
,Piedmont,9-Apr,25-May
,Coastal Plain,18-Mar,21-May
,,,
Progomphus alachuensis (Tawny Sanddragon)  ,Statewide,29-Jun,11-Oct
,Coastal Plain,29-Jun,11-Oct
,,,
Progomphus obscurus (Common Sanddragon) ,Statewide,1-Apr,11-Sep
,Blue Ridge,7-May,10-Aug
,Ridge+Valley/CumP,3-Jun,8-Jul
,Piedmont,12-May,11-Sep
,Coastal Plain,1-Apr,26-Aug
,,,
Stenogomphurus consanguis (Cherokee Clubtail)  ,Statewide,8-May,15-Sep
,Ridge+Valley/CumP,8-May,15-Sep
,,,
Stenogomphurus rogersi (Sable Clubtail)  ,Statewide,8-May,27-Jun
,Blue Ridge,8-May,27-Jun
,Ridge+Valley/CumP,,
,Piedmont,,
,,,
Stylogomphus albistylus (Eastern Least Clubtail)  ,Statewide,3-May,10-Aug
,Blue Ridge,7-May,10-Aug
,Ridge+Valley/CumP,3-May,25-Jul
,Piedmont,,
,,,
Stylurus laurae (Lauras Clubtail)  ,Statewide,7-Jun,4-Oct
,Blue Ridge,9-Aug,4-Oct
,Ridge+Valley/CumP,7-Jun,
,Piedmont,15-Aug,27-Aug
,Coastal Plain,,
,,,
Stylurus plagiatus (Russet-tipped Clubtail),Statewide,4-Jun,5-Nov
,Blue Ridge,31-Aug,31-Aug
,Ridge+Valley/CumP,4-Aug,17-Oct
,Piedmont,4-Aug,26-Sep
,Coastal Plain,4-Jun,5-Nov
,,,
Stylurus scudderi (Zebra Clubtail),Statewide,15-Sep,5-Oct
,Blue Ridge,28-Jul,5-Oct
,,,
Stylurus spiniceps (Arrow Clubtail),Blue Ridge,,
,,,
,,,
Cordulegaster bilineata (Brown Spiketail)  ,Statewide,26-Mar,8-Jul
,Blue Ridge,12-Apr,8-Jul
,Ridge+Valley/CumP,26-Mar,22-May
,Piedmont,16-Apr,10-May
,Coastal Plain,30-Mar,6-Apr
,,,
Cordulegaster erronea (Tiger Spiketail)  ,Statewide,8-Jun,6-Aug
,Blue Ridge,19-Jun,1-Aug
,Ridge+Valley/CumP,27-Jun,4-Aug
,Piedmont,,
,,,
Cordulegaster maculata (Twin-spotted Spiketail)  ,Statewide,11-Mar,27-Jun
,Blue Ridge,17-Apr,27-Jun
,Ridge+Valley/CumP,3-Apr,20-Jun
,Piedmont,8-Apr,1-May
,Coastal Plain,17-Mar,13-Apr
,,,
Cordulegaster obliqua (Arrowhead Spiketail)       ,Statewide,16-May,17-Aug
,Blue Ridge,,
,Ridge+Valley/CumP,16-May,4-Jul
,Piedmont,,
,Coastal Plain,7-Jul,25-Jul
,,,
Cordulegaster sayi (Says Spiketail)  ,Statewide,8-Mar,23-Apr
,Coastal Plain,8-Mar,23-Apr
,,,
Didymops transversa (Stream Cruiser) ,Statewide,24-Feb,30-Jun
,Blue Ridge,17-Apr,15-Jun
,Ridge+Valley/CumP,15-Mar,2-Jun
,Piedmont,24-Feb,29-Apr
,Coastal Plain,13-Mar,28-Jun
,,,
Macromia alleghaniensis (Allegheny River Cruiser) ,Statewide,15-Jun,30-Jun
,Blue Ridge,,
,Ridge+Valley/CumP,,
,,,
Macromia illinoiensis (Georgia River Cruiser) ,Statewide,11-May,19-Oct
,Blue Ridge,,
,Ridge+Valley/CumP,24-Sep,24-Sep
,Piedmont,17-Jun,13-Sep
,Coastal Plain,11-May,28-Sep
,,,
,,,
Macromia margarita (Mountain River Cruiser)  ,Statewide,31-May,29-Jun
,Blue Ridge,31-May,29-Jun
,Ridge+Valley/CumP,,
,,,
Macromia taeniolata (Royal River Cruiser) ,Statewide,10-May,21-Sep
,Blue Ridge,,
,Ridge+Valley/CumP,20-Jun,17-Sep
,Piedmont,10-Jul,9-Sep
,Coastal Plain,10-May,21-Sep
,,,
Epitheca princeps (Prince Baskettail)  ,Statewide,13-Apr,24-Sep
,Blue Ridge,6-May,24-Sep
,Ridge+Valley/CumP,16-May,6-Sep
,Piedmont,13-Apr,22-Sep
,Coastal Plain,2-May,15-Sep
,,,
Epitheca costalis (Slender Baskettail) ,Statewide,13-Mar,20-Jun
,Blue Ridge,14-May,14-May
,Ridge+Valley/CumP,7-May,20-Jun
,Piedmont,,
,Coastal Plain,13-Mar,13-Apr
,,,
Epitheca cynosura (Common Baskettail)  ,Statewide,6-Mar,4-Jul
,Blue Ridge,9-Apr,4-Jul
,Ridge+Valley/CumP,15-Mar,24-May
,Piedmont,14-Mar,21-May
,Coastal Plain,6-Mar,13-May
,,,
Epitheca semiaquea (Mantled Baskettail)  ,Statewide,13-Mar,28-Apr
,Piedmont,,
,Coastal Plain,13-Mar,28-Apr
,,,
Epitheca sepia (Sepia Baskettail)  ,Statewide,10-May,8-Jul
,Piedmont,,
